from_city;from_district;to_city;to_district;migration
ANKARA;BALA;ANKARA;CANKAYA;6656
BALIKESIR;MANYAS;BALIKESIR;BANDIRMA;6628
DIYARBAKIR;HANI;DIYARBAKIR;BAGLAR;6610
MALATYA;ARGUVAN;MALATYA;MALATYA MERKEZ;6597
KAYSERI;TOMARZA;KAYSERI;KOCASINAN;6595
GAZIANTEP;NURDAGI;GAZIANTEP;SAHINBEY;6594
KARABUK;OVACIK/KARABUK;KARABUK;KARABUK MERKEZ;6571
VAN;GEVAS;VAN;VAN MERKEZ;6552
ANKARA;KALECIK;ANKARA;KECIOREN;6551
TEKIRDAG;HAYRABOLU;TEKIRDAG;TEKIRDAG MERKEZ;6547
ISTANBUL;KADIKOY;ISTANBUL;USKUDAR;6528
IZMIR;BORNOVA;IZMIR;BAYRAKLI;6519
BURSA;BUYUKORHAN;BURSA;OSMANGAZI;6515
ISTANBUL;FATIH;ISTANBUL;BUYUKCEKMECE;6514
ISTANBUL;FATIH;ISTANBUL;EYUP;6507
AYDIN;INCIRLIOVA;AYDIN;AYDIN MERKEZ;6482
ORDU;PERSEMBE;ORDU;ORDU MERKEZ;6426
BALIKESIR;BIGADIC;BALIKESIR;BALIKESIR MERKEZ;6411
DENIZLI;SERINHISAR;DENIZLI;DENIZLI MERKEZ;6349
SAMSUN;TERME;SAMSUN;ILKADIM;6343
GAZIANTEP;KARKAMIS;GAZIANTEP;SAHINBEY;6323
ANKARA;HAYMANA;ANKARA;ALTINDAG;6319
CORUM;ALACA;CORUM;CORUM MERKEZ;6232
ANKARA;KALECIK;ANKARA;PURSAKLAR;6181
KOCAELI;IZMIT;KOCAELI;DERINCE;6149
SANLIURFA;AKCAKALE;SANLIURFA;SANLIURFA MERKEZ;6121
DENIZLI;BAKLAN;DENIZLI;DENIZLI MERKEZ;6089
ISTANBUL;BEYOGLU;ISTANBUL;BESIKTAS;6079
ANTALYA;DOSEMEALTI;ANTALYA;KEPEZ;6078
ANKARA;HAYMANA;ANKARA;SINCAN;6066
ISTANBUL;SISLI;ISTANBUL;KADIKOY;6035
SAMSUN;TEKKEKOY;SAMSUN;ILKADIM;6035
ANKARA;KIZILCAHAMAM;ANKARA;CANKAYA;6008
KAHRAMANMARAS;EKINOZU;KAHRAMANMARAS;ELBISTAN;5982
KONYA;YUNAK;KONYA;SELCUKLU;5975
VAN;OZALP;VAN;VAN MERKEZ;5957
DIYARBAKIR;ERGANI;DIYARBAKIR;KAYAPINAR;5955
ANKARA;ALTINDAG;ANKARA;MAMAK;5911
BURSA;INEGOL;BURSA;OSMANGAZI;5885
USAK;ULUBEY/USAK;USAK;USAK MERKEZ;5881
ISTANBUL;FATIH;ISTANBUL;ZEYTINBURNU;5834
GAZIANTEP;OGUZELI;GAZIANTEP;SEHITKAMIL;5822
TRABZON;CAYKARA;TRABZON;TRABZON MERKEZ;5819
DENIZLI;HONAZ;DENIZLI;DENIZLI MERKEZ;5787
SIRNAK;SIRNAK MERKEZ;SIRNAK;CIZRE;5781
ISTANBUL;USKUDAR;ISTANBUL;UMRANIYE;5764
ERZINCAN;UZUMLU;ERZINCAN;ERZINCAN MERKEZ;5758
ANKARA;KALECIK;ANKARA;ALTINDAG;5748
KAYSERI;YESILHISAR;KAYSERI;MELIKGAZI;5731
ISTANBUL;FATIH;ISTANBUL;SARIYER;5693
KIRIKKALE;DELICE;KIRIKKALE;KIRIKKALE MERKEZ;5675
BURSA;OSMANGAZI;BURSA;MUDANYA;5666
ANKARA;POLATLI;ANKARA;SINCAN;5618
KONYA;ALTINEKIN;KONYA;KARATAY;5615
KAYSERI;YAHYALI;KAYSERI;MELIKGAZI;5598
MARDIN;MAZIDAGI;MARDIN;KIZILTEPE;5594
MERSIN;TARSUS;MERSIN;YENISEHIR;5593
DIYARBAKIR;LICE;DIYARBAKIR;SUR;5569
AYDIN;KOSK;AYDIN;AYDIN MERKEZ;5562
ERZURUM;ERZURUM MERKEZ;ERZURUM;AZIZIYE;5520
BALIKESIR;GONEN/BALIKESIR;BALIKESIR;BANDIRMA;5501
DENIZLI;SARAYKOY;DENIZLI;DENIZLI MERKEZ;5498
ORDU;GULYALI;ORDU;ORDU MERKEZ;5495
MERSIN;CAMLIYAYLA;MERSIN;TARSUS;5472
KONYA;ALTINEKIN;KONYA;SELCUKLU;5468
MERSIN;TOROSLAR;MERSIN;AKDENIZ;5466
IZMIR;ODEMIS;IZMIR;KARABAGLAR;5453
KONYA;HALKAPINAR;KONYA;EREGLI/KONYA;5448
SAMSUN;BAFRA;SAMSUN;ILKADIM;5447
ESKISEHIR;CIFTELER;ESKISEHIR;TEPEBASI;5436
SAKARYA;ERENLER;SAKARYA;ADAPAZARI;5433
VAN;BAHCESARAY;VAN;VAN MERKEZ;5427
ANKARA;CANKAYA;ANKARA;MAMAK;5408
KAYSERI;SARIOGLAN;KAYSERI;KOCASINAN;5407
KONYA;TUZLUKCU;KONYA;AKSEHIR;5406
ESKISEHIR;MAHMUDIYE;ESKISEHIR;ODUNPAZARI;5398
ELAZIG;KEBAN;ELAZIG;ELAZIG MERKEZ;5395
ESKISEHIR;GUNYUZU;ESKISEHIR;ODUNPAZARI;5359
ANKARA;GOLBASI/ANKARA;ANKARA;CANKAYA;5335
KIRSEHIR;BOZTEPE;KIRSEHIR;KIRSEHIR MERKEZ;5318
ANTALYA;GUNDOGMUS;ANTALYA;ALANYA;5318
ANTALYA;AKSU;ANTALYA;KEPEZ;5313
DENIZLI;BABADAG;DENIZLI;DENIZLI MERKEZ;5305
SAKARYA;AKYAZI;SAKARYA;ADAPAZARI;5281
DENIZLI;BEKILLI;DENIZLI;DENIZLI MERKEZ;5255
ERZURUM;PASINLER;ERZURUM;YAKUTIYE;5249
ISPARTA;SENIRKENT;ISPARTA;ISPARTA MERKEZ;5241
SIVAS;HAFIK;SIVAS;SIVAS MERKEZ;5227
ANTALYA;ELMALI;ANTALYA;MURATPASA;5204
KAYSERI;SARIZ;KAYSERI;KOCASINAN;5197
ISTANBUL;BEYOGLU;ISTANBUL;USKUDAR;5193
AYDIN;KUYUCAK;AYDIN;NAZILLI;5182
ESKISEHIR;ALPU;ESKISEHIR;TEPEBASI;5161
ISPARTA;YALVAC;ISPARTA;ISPARTA MERKEZ;5160
ANKARA;HAYMANA;ANKARA;KECIOREN;5141
ANKARA;KAZAN;ANKARA;YENIMAHALLE;5104
HAKKARI;CUKURCA;HAKKARI;HAKKARI MERKEZ;5099
MERSIN;GULNAR;MERSIN;TOROSLAR;5090
ISTANBUL;ZEYTINBURNU;ISTANBUL;KUCUKCEKMECE;5090
ISTANBUL;SILE;ISTANBUL;USKUDAR;5068
KAHRAMANMARAS;ANDIRIN;KAHRAMANMARAS;KAHRAMANMARAS MERKEZ;5056
ISPARTA;AKSU;ISPARTA;ISPARTA MERKEZ;5048
KAYSERI;DEVELI;KAYSERI;MELIKGAZI;5048
BOLU;SEBEN;BOLU;BOLU MERKEZ;5008
KONYA;AKOREN;KONYA;MERAM;4999
SAMSUN;AYVACIK/SAMSUN;SAMSUN;CARSAMBA;4975
KAYSERI;PINARBASI/KAYSERI;KAYSERI;TALAS;4974
ANKARA;SEREFLIKOCHISAR;ANKARA;CANKAYA;4966
SAKARYA;SOGUTLU;SAKARYA;ADAPAZARI;4953
ORDU;KABADUZ;ORDU;ORDU MERKEZ;4952
IZMIR;KEMALPASA;IZMIR;BORNOVA;4940
ANKARA;YENIMAHALLE;ANKARA;CANKAYA;4930
KARABUK;SAFRANBOLU;KARABUK;KARABUK MERKEZ;4915
SAKARYA;KOCAALI;SAKARYA;ADAPAZARI;4911
KONYA;BOZKIR;KONYA;KARATAY;4901
AYDIN;GERMENCIK;AYDIN;AYDIN MERKEZ;4894
ESKISEHIR;SEYITGAZI;ESKISEHIR;TEPEBASI;4890
KAHRAMANMARAS;AFSIN;KAHRAMANMARAS;ELBISTAN;4884
DIYARBAKIR;BISMIL;DIYARBAKIR;BAGLAR;4880
ANKARA;SEREFLIKOCHISAR;ANKARA;KECIOREN;4874
KAYSERI;TALAS;KAYSERI;KOCASINAN;4867
IZMIR;TORBALI;IZMIR;KARABAGLAR;4865
IZMIR;KONAK;IZMIR;GAZIEMIR;4860
TRABZON;ARAKLI;TRABZON;TRABZON MERKEZ;4835
ERZURUM;TEKMAN;ERZURUM;PALANDOKEN;4834
IZMIR;KONAK;IZMIR;CIGLI;4834
USAK;KARAHALLI;USAK;USAK MERKEZ;4822
KUTAHYA;EMET;KUTAHYA;KUTAHYA MERKEZ;4817
EDIRNE;HAVSA;EDIRNE;EDIRNE MERKEZ;4813
DIYARBAKIR;SILVAN;DIYARBAKIR;KAYAPINAR;4800
DIYARBAKIR;CINAR;DIYARBAKIR;SUR;4780
DIYARBAKIR;HAZRO;DIYARBAKIR;SUR;4779
ANKARA;BALA;ANKARA;SINCAN;4777
IZMIR;MENDERES;IZMIR;KARABAGLAR;4768
ANKARA;KIZILCAHAMAM;ANKARA;MAMAK;4766
SANLIURFA;HARRAN;SANLIURFA;SANLIURFA MERKEZ;4765
HATAY;BELEN;HATAY;ISKENDERUN;4748
BALIKESIR;SUSURLUK;BALIKESIR;BALIKESIR MERKEZ;4729
DENIZLI;BOZKURT/DENIZLI;DENIZLI;DENIZLI MERKEZ;4722
HATAY;REYHANLI;HATAY;HATAY MERKEZ;4718
ESKISEHIR;BEYLIKOVA;ESKISEHIR;ODUNPAZARI;4706
ISPARTA;GELENDOST;ISPARTA;ISPARTA MERKEZ;4699
AFYONKARAHISAR;SUHUT;AFYONKARAHISAR;AFYONKARAHISAR MERKEZ;4692
ANTALYA;KEPEZ;ANTALYA;MURATPASA;4676
AYDIN;KARPUZLU;AYDIN;AYDIN MERKEZ;4668
ERZURUM;CAT;ERZURUM;PALANDOKEN;4666
ADANA;POZANTI;ADANA;SEYHAN;4662
ISTANBUL;KADIKOY;ISTANBUL;ATASEHIR;4662
MERSIN;TARSUS;MERSIN;TOROSLAR;4658
KONYA;DERBENT;KONYA;SELCUKLU;4651
BALIKESIR;SINDIRGI;BALIKESIR;BALIKESIR MERKEZ;4650
IZMIR;TIRE;IZMIR;KARABAGLAR;4639
KOCAELI;IZMIT;KOCAELI;KARTEPE;4636
ISTANBUL;SISLI;ISTANBUL;BESIKTAS;4629
BURSA;KELES;BURSA;YILDIRIM;4619
ADANA;YUMURTALIK;ADANA;YUREGIR;4606
IZMIR;MENEMEN;IZMIR;KARSIYAKA;4606
