from_city;from_district;to_city;sum
ADANA;IMAMOGLU;KIRSEHIR;12
ADANA;IMAMOGLU;KOCAELI;92
ADANA;IMAMOGLU;KONYA;150
ADANA;IMAMOGLU;KUTAHYA;16
ADANA;IMAMOGLU;MALATYA;33
ADANA;IMAMOGLU;MANISA;35
ADANA;IMAMOGLU;MARDIN;34
ADANA;IMAMOGLU;MERSIN;709
ADANA;IMAMOGLU;MUGLA;73
ADANA;IMAMOGLU;MUS;11
ADANA;IMAMOGLU;NEVSEHIR;19
ADANA;IMAMOGLU;NIGDE;110
ADANA;IMAMOGLU;ORDU;2
ADANA;IMAMOGLU;OSMANIYE;234
ADANA;IMAMOGLU;RIZE;14
ADANA;IMAMOGLU;SAKARYA;95
ADANA;IMAMOGLU;SAMSUN;14
ADANA;IMAMOGLU;SANLIURFA;48
ADANA;IMAMOGLU;SIIRT;37
ADANA;IMAMOGLU;SINOP;4
ADANA;IMAMOGLU;SIRNAK;18
ADANA;IMAMOGLU;SIVAS;19
ADANA;IMAMOGLU;TEKIRDAG;88
ADANA;IMAMOGLU;TOKAT;23
ADANA;IMAMOGLU;TRABZON;21
ADANA;IMAMOGLU;TUNCELI;24
ADANA;IMAMOGLU;USAK;6
ADANA;IMAMOGLU;VAN;22
ADANA;IMAMOGLU;YALOVA;17
ADANA;IMAMOGLU;YOZGAT;21
ADANA;IMAMOGLU;ZONGULDAK;16
ADANA;KARAISALI;ADIYAMAN;49
ADANA;KARAISALI;AFYONKARAHISAR;51
ADANA;KARAISALI;AGRI;21
ADANA;KARAISALI;AKSARAY;40
ADANA;KARAISALI;AMASYA;51
ADANA;KARAISALI;ANKARA;689
ADANA;KARAISALI;ANTALYA;388
ADANA;KARAISALI;ARDAHAN;5
ADANA;KARAISALI;ARTVIN;10
ADANA;KARAISALI;AYDIN;50
ADANA;KARAISALI;BALIKESIR;134
ADANA;KARAISALI;BARTIN;6
ADANA;KARAISALI;BATMAN;23
ADANA;KARAISALI;BAYBURT;9
ADANA;KARAISALI;BILECIK;102
ADANA;KARAISALI;BINGOL;20
ADANA;KARAISALI;BITLIS;16
ADANA;KARAISALI;BOLU;18
ADANA;KARAISALI;BURDUR;17
ADANA;KARAISALI;BURSA;186
ADANA;KARAISALI;CANAKKALE;26
ADANA;KARAISALI;CANKIRI;10
ADANA;KARAISALI;CORUM;32
ADANA;KARAISALI;DENIZLI;35
ADANA;KARAISALI;DIYARBAKIR;65
ADANA;KARAISALI;DUZCE;13
ADANA;KARAISALI;EDIRNE;34
ADANA;KARAISALI;ELAZIG;39
ADANA;KARAISALI;ERZINCAN;7
ADANA;KARAISALI;ERZURUM;66
ADANA;KARAISALI;ESKISEHIR;87
ADANA;KARAISALI;GAZIANTEP;134
ADANA;KARAISALI;GIRESUN;9
ADANA;KARAISALI;GUMUSHANE;2
ADANA;KARAISALI;HAKKARI;13
ADANA;KARAISALI;HATAY;273
ADANA;KARAISALI;IGDIR;3
ADANA;KARAISALI;ISPARTA;52
ADANA;KARAISALI;ISTANBUL;1329
ADANA;KARAISALI;IZMIR;315
ADANA;KARAISALI;KAHRAMANMARAS;186
ADANA;KARAISALI;KARABUK;8
ADANA;KARAISALI;KARAMAN;19
ADANA;KARAISALI;KARS;19
ADANA;KARAISALI;KASTAMONU;26
ADANA;KARAISALI;KAYSERI;96
ADANA;KARAISALI;KILIS;17
ADANA;KARAISALI;KIRIKKALE;14
ADANA;KARAISALI;KIRKLARELI;28
ADANA;KARAISALI;KIRSEHIR;7
ADANA;KARAISALI;KOCAELI;109
ADANA;KARAISALI;KONYA;205
ADANA;KARAISALI;KUTAHYA;41
ADANA;KARAISALI;MALATYA;32
ADANA;KARAISALI;MANISA;43
ADANA;KARAISALI;MARDIN;106
ADANA;KARAISALI;MERSIN;1789
ADANA;KARAISALI;MUGLA;110
ADANA;KARAISALI;MUS;22
ADANA;KARAISALI;NEVSEHIR;27
ADANA;KARAISALI;NIGDE;225
ADANA;KARAISALI;ORDU;19
ADANA;KARAISALI;OSMANIYE;203
ADANA;KARAISALI;RIZE;9
ADANA;KARAISALI;SAKARYA;70
ADANA;KARAISALI;SAMSUN;37
ADANA;KARAISALI;SANLIURFA;78
ADANA;KARAISALI;SIIRT;9
ADANA;KARAISALI;SINOP;11
ADANA;KARAISALI;SIRNAK;24
ADANA;KARAISALI;SIVAS;32
ADANA;KARAISALI;TEKIRDAG;45
ADANA;KARAISALI;TOKAT;24
ADANA;KARAISALI;TRABZON;22
ADANA;KARAISALI;TUNCELI;14
ADANA;KARAISALI;USAK;24
ADANA;KARAISALI;VAN;28
ADANA;KARAISALI;YALOVA;22
ADANA;KARAISALI;YOZGAT;17
ADANA;KARAISALI;ZONGULDAK;28
ADANA;KARATAS;ADIYAMAN;20
ADANA;KARATAS;AFYONKARAHISAR;18
ADANA;KARATAS;AGRI;14
ADANA;KARATAS;AKSARAY;12
ADANA;KARATAS;AMASYA;9
ADANA;KARATAS;ANKARA;380
ADANA;KARATAS;ANTALYA;364
ADANA;KARATAS;ARDAHAN;4
ADANA;KARATAS;ARTVIN;2
ADANA;KARATAS;AYDIN;48
ADANA;KARATAS;BALIKESIR;39
ADANA;KARATAS;BARTIN;2
ADANA;KARATAS;BATMAN;15
ADANA;KARATAS;BILECIK;10
ADANA;KARATAS;BINGOL;2
ADANA;KARATAS;BITLIS;11
ADANA;KARATAS;BOLU;9
ADANA;KARATAS;BURDUR;3
ADANA;KARATAS;BURSA;97
ADANA;KARATAS;CANAKKALE;14
ADANA;KARATAS;CANKIRI;2
ADANA;KARATAS;CORUM;7
ADANA;KARATAS;DENIZLI;27
ADANA;KARATAS;DIYARBAKIR;42
ADANA;KARATAS;DUZCE;6
