address_city;address_district;count
KONYA;SARAYONU;19190
GAZIANTEP;ARABAN;19106
ISTANBUL;SILE;19051
BARTIN;ULUS;19033
ERZURUM;PASINLER;19006
SIVAS;SUSEHRI;18889
HATAY;BELEN;18758
IZMIR;SEFERIHISAR;18719
YALOVA;CIFTLIKKOY;18705
MERSIN;BOZYAZI;18689
KAYSERI;TOMARZA;18671
SAKARYA;PAMUKOVA;18655
ESKISEHIR;SIVRIHISAR;18607
YOZGAT;CEKEREK;18601
TRABZON;MACKA;18557
MUGLA;ULA;18556
AYDIN;BUHARKENT;18466
KUTAHYA;EMET;18251
KARABUK;YENICE/KARABUK;18249
ERZURUM;HINIS;18204
DIYARBAKIR;KULP;18104
NEVSEHIR;GULSEHIR;17987
DENIZLI;CAL;17984
BALIKESIR;MANYAS;17980
YALOVA;CINARCIK;17925
ZONGULDAK;GOKCEBEY;17917
SIVAS;KANGAL;17879
BURSA;ORHANELI;17861
CANKIRI;ORTA;17816
GAZIANTEP;OGUZELI;17695
SINOP;AYANCIK;17693
ANTALYA;DEMRE;17652
KAHRAMANMARAS;CAGLIYANCERIT;17635
ORDU;AYBASTI;17579
MARDIN;YESILLI;17510
MALATYA;BATTALGAZI;17492
SAMSUN;ONDOKUZMAYIS;17464
TRABZON;ARSIN;17399
EDIRNE;HAVSA;17388
CORUM;BAYAT/CORUM;17301
AGRI;TUTAK;17245
MANISA;SELENDI;17243
KASTAMONU;INEBOLU;17164
ARTVIN;BORCKA;16888
NIGDE;ULUKISLA;16859
SAKARYA;FERIZLI;16850
NIGDE;CIFTLIK;16838
SAKARYA;KOCAALI;16834
MALATYA;HEKIMHAN;16769
ARTVIN;YUSUFELI;16757
MARDIN;OMERLI;16694
TUNCELI;PERTEK;16666
ADANA;KARAISALI;16449
KONYA;DOGANHISAR;16426
IZMIR;FOCA;16425
SAKARYA;KAYNARCA;16235
TRABZON;BESIKDUZU;16164
GIRESUN;SEBINKARAHISAR;16126
SINOP;GERZE;16115
GIRESUN;DERELI;16052
ERZURUM;KARAYAZI;16049
GIRESUN;KESAP;16013
